Email,Name,Exculsion1,Exclusion2,Exclusion3,Exclusion4
testpython413@gmail.com,Name1,Name4,Name5,Name8,
testpython413@gmail.com,Name2,Name3,Name10,Name15,
testpython413@gmail.com,Name3,Name11,Name13,,
testpython413@gmail.com,Name4,Name1,Name5,Name12,
testpython413@gmail.com,Name5,Name1,Name4,Name6,Name16
testpython413@gmail.com,Name6,Name7,,,
testpython413@gmail.com,Name7,Name13,Name15,,
testpython413@gmail.com,Name8,Name2,Name9,,
testpython413@gmail.com,Name9,Name8,Name11,,
testpython413@gmail.com,Name10,Name2,Name14,Name15,
testpython413@gmail.com,Name11,Name3,Name5,,
testpython413@gmail.com,Name12,Name10,Name14,,
testpython413@gmail.com,Name13,Name1,Name7,,
testpython413@gmail.com,Name14,Name4,Name12,,
testpython413@gmail.com,Name15,Name2,Name9,Name10,
testpython413@gmail.com,Name16,Name5,,,
